"p","r_quantile"
-0.595,0.54012122829976
-0.594,0.518887398038839
-0.593,0.500344776452763
-0.592,0.530372721713597
-0.591,0.500557300620775
-0.59,0.510082833316029
-0.589,0.504903542080486
-0.588,0.508809034219016
-0.587,0.534790251431322
-0.586,0.528805514178548
-0.585,0.54669765757541
-0.584,0.535144805857638
-0.583,0.524446743799101
-0.582,0.573348065440885
-0.581,0.525549633305621
-0.58,0.5195101322177
-0.579,0.525756155085697
-0.578,0.549208057995227
-0.577,0.552002453125551
-0.576,0.537253113277465
-0.575,0.552146464421333
-0.574,0.564560787356808
-0.573,0.548306981881487
-0.572,0.554938224449098
-0.571,0.549198528275276
-0.57,0.538178653049346
-0.569,0.557576335625186
-0.568,0.56863908113568
-0.567,0.558255353112593
-0.566,0.554157577132507
-0.565,0.554768935469008
-0.564,0.543702019148907
-0.563,0.560030636410648
-0.562,0.587049328864193
-0.561,0.569553302433675
-0.56,0.547556803774655
-0.559,0.537335452998381
-0.558,0.54966451931079
-0.557,0.564422845317691
-0.556,0.578445273223693
-0.555,0.564005533021784
-0.554,0.596170529968182
-0.553,0.576181015507772
-0.552,0.570826287985784
-0.551,0.550392510935868
-0.55,0.588851736974357
-0.549,0.557756914903259
-0.548,0.591620333735934
-0.547,0.606878868022309
-0.546,0.596465140946512
-0.545,0.583445056038891
-0.544,0.582786382873327
-0.543,0.577399275655639
-0.542,0.572529683876457
-0.541,0.591954078522498
-0.54,0.584934606657674
-0.539,0.582936446512453
-0.538,0.572402741492262
-0.537,0.610555016241828
-0.536,0.609908614774537
-0.535,0.612400278890082
-0.534,0.583460098020035
-0.533,0.615146154210843
-0.532,0.597978908803446
-0.531,0.613359005165907
-0.53,0.578254383694707
-0.529,0.603743295522846
-0.528,0.597641406034494
-0.527,0.587850875104833
-0.526,0.631964368048202
-0.525,0.595485782751842
-0.524,0.575920683318438
-0.523,0.571113129330334
-0.522,0.629045755435736
-0.521,0.61938130343647
-0.52,0.604025379017533
-0.519,0.597209411352694
-0.518,0.621807769519276
-0.517,0.61132708198504
-0.516,0.60731206838102
